tname,title,view,like,danmaku,share,coin
搞笑,你这样街访真得不合适 但真得好好笑啊哈哈哈哈哈哈,946399,83344,400,1800,1800
电子竞技,【巅峰数据排行72】什么？他竟然？,202720,15830,913,284,284
日常,乘风破浪的姐姐重伤谭sir，致其考虑推出新栏目《乔姐说交通》,320162,29236,1363,325,325
小剧场,我是你预判不了的男人,812365,45633,197,1987,1987
动漫杂谈,财阀诈骗医生，治病不交手术费，医生便在绝境中反诈骗财阀！,2354837,43647,170,72,72
桌游棋牌,【战锤】谁更凶？星际战士能否挑战中式僵尸王？,91353,12570,1123,592,592
数码,能拍8K视频的徕卡全画幅相机？！,477767,38183,2155,2191,2191
仿妆cos,偷偷爆改成热血高校，给老婆一个小惊喜！！,111947,14171,1245,313,313
美食制作,好久不见，我真的来b站了。,1096462,303916,1213,1025,1025
乐评盘点,明明是首顶级战歌，一看歌词竟是“情歌”？战斗民族情歌太炸裂了！,680561,23494,127,89,89
喵星人,长官！我申请做你的宝贝,620627,38009,347,534,534
仿妆cos,没抽到花火的你才是真欢愉o(^▽^)o,546232,114832,387,2784,2784
影视杂谈,我叫二郎神，要不是沉香是我外甥，我早就一刀砍死他了,230850,17165,1070,646,646
影视剪辑,“年轻又貌美，但闯进叔圈了”走个路都劲儿劲儿的！,1802407,80303,1402,6557,6557
影视杂谈,《看过最炸裂的国产剧》,227813,16621,2510,644,644
手机游戏,惨败！再战！三忍集结为雪前耻，共赴天地战场！从零开始的火影之路（十一）,239096,12623,461,108,108
翻唱,女儿情,613061,69242,588,1858,1858
手机游戏,怒氪12W被针对！玩到真火影了！火影忍者爆氪冲击至高无上！#4,1901627,125410,795,1033,1033
校园学习,当我们长大了，当我们承担了父亲的责任！,1364784,169253,171,862,862
影视杂谈,美与震撼！《沙丘2》十大角色、美学、场景超详细解析！,73088,4277,447,828,828
单机游戏,“ V R 禽 兽！！！ ”,420059,37983,442,262,262
小剧场,陈翔六点半：如鲠在喉,198365,16671,441,272,272
手机游戏,花导故事会,1014372,134326,3239,10412,10412
科学科普,中国发现的新人种“龙人”，改写了非洲起源说的主要内容,585296,27942,1364,998,998
影视杂谈,灵堂爆头、邪教洗脑！公映前突然换盘！尺度爽片《周处除三害》【以片概全】,3743966,93421,4648,9426,9426
喵星人,我妈不让小猫上床，小猫哼哼唧唧撒娇让我抱他,865297,76589,309,263,263
MAD·AMV,“长大后才发现，这么棒的动漫越来越少了...“,466318,21715,570,439,439
单机游戏,在这里当保安太难了，你能分辨谁是伪人吗？,788504,71868,6741,962,962
日常,《冰红茶》6.0,238458,80738,282,7578,7578
